"ori_node","des_node","ori_layer","des_layer","minutes","km"
28517,29725,2,2,6,6.653
29725,28517,2,2,5,6.653
29725,43182,2,2,5,3.355
43182,29725,2,2,7,3.355
1385,41465,3,3,1,0.668
1385,43530,3,3,2,0.894
1625,12153,3,3,2,0.598
1625,28259,3,3,2,0.567
1625,34764,3,3,1,0.361
3767,29664,3,3,2,0.432
3767,31457,3,3,1,0.619
4636,26775,3,3,1,0.361
4636,27777,3,3,1,0.605
5352,5352,3,3,1,0
5352,7067,3,3,1,0.848
5352,29725,3,3,2,0.577
5352,43976,3,3,1,0.276
7067,5352,3,3,1,0.848
7067,26775,3,3,1,0.388
7067,29725,3,3,4,0.957
7508,42319,3,3,1,0.45
8255,22356,3,3,1,0.533
8255,36398,3,3,1,0.458
9688,12153,3,3,1,0.408
9688,29738,3,3,1,0.707
12153,1625,3,3,1,0.598
12153,9688,3,3,1,0.408
13594,15111,3,3,1,0.737
13594,37923,3,3,1,0.513
15111,13594,3,3,1,0.737
15111,43946,3,3,1,0.552
21311,43946,3,3,2,0.719
21311,47260,3,3,2,1.386
22356,8255,3,3,1,0.533
22356,29738,3,3,1,0.387
25500,28261,3,3,1,0.334
25500,43976,3,3,1,0.268
25515,30789,3,3,1,0.734
25515,34764,3,3,2,0.65
26775,4636,3,3,1,0.361
26775,7067,3,3,1,0.388
27777,4636,3,3,2,0.605
27777,35664,3,3,1,0.488
28259,1625,3,3,2,0.567
28261,25500,3,3,1,0.334
28261,36398,3,3,1,0.436
29664,3767,3,3,1,0.432
29664,29725,3,3,1,0.906
29725,5352,3,3,2,0.577
29725,29664,3,3,1,0.906
29725,29725,3,3,1,0
29738,9688,3,3,1,0.707
29738,22356,3,3,1,0.387
30789,25515,3,3,1,0.734
31457,3767,3,3,1,0.619
31457,43018,3,3,1,0.691
34572,41644,3,3,1,0.388
34581,37923,3,3,2,0.436
34581,44318,3,3,2,0.571
34764,1625,3,3,2,0.361
34764,25515,3,3,2,0.65
35664,27777,3,3,1,0.488
35664,36087,3,3,2,0.906
36087,35664,3,3,2,0.906
36087,41644,3,3,1,0.682
36398,8255,3,3,1,0.458
36398,28261,3,3,1,0.436
37923,13594,3,3,1,0.513
37923,34581,3,3,1,0.436
41465,1385,3,3,1,0.668
41465,42319,3,3,1,0.593
41465,47260,3,3,2,0.524
41644,34572,3,3,1,0.388
41644,36087,3,3,1,0.682
42319,7508,3,3,1,0.45
42319,41465,3,3,2,0.593
43018,31457,3,3,2,0.691
43018,43530,3,3,2,0.989
43530,1385,3,3,2,0.894
43530,43018,3,3,3,0.989
43946,15111,3,3,1,0.552
43946,21311,3,3,2,0.719
43976,5352,3,3,1,0.276
43976,25500,3,3,1,0.268
44092,47251,3,3,1,0.519
44318,34581,3,3,1,0.571
44318,47251,3,3,1,0.601
