"node","layer","lat","lon","zone","atcocode","city"
3108,5,50.91149,-1.43385,910,"    910GMBRK","Southampton"
3108,2,50.91149,-1.43385,910,"    910GMBRK","Southampton"
3348,2,50.89891,-1.37706,910," 910GWOLSTON","Southampton"
3348,5,50.89891,-1.37706,910," 910GWOLSTON","Southampton"
5290,2,50.87485,-1.34177,190,"  910GNETLEY","Southampton"
5290,5,50.87485,-1.34177,190,"  910GNETLEY","Southampton"
23302,5,50.87136,-1.32917,910,"   910GHMBLE","Southampton"
23302,2,50.87136,-1.32917,910,"   910GHMBLE","Southampton"
28490,5,50.91821,-1.377,910," 910GBITERNE","Southampton"
28490,2,50.91821,-1.377,910," 910GBITERNE","Southampton"
32014,4,50.90744,-1.4136,190,"   910GSOTON","Southampton"
32014,2,50.90744,-1.4136,190,"   910GSOTON","Southampton"
32014,5,50.90744,-1.4136,190,"   910GSOTON","Southampton"
33547,5,50.8707,-1.3993,930,"     930GHYT","Southampton"
33547,1,50.8707,-1.3993,930,"     930GHYT","Southampton"
36610,4,50.93746,-1.39183,198,"900GNX002569","Southampton"
36610,5,50.93746,-1.39183,198,"900GNX002569","Southampton"
36860,5,50.89674,-1.36492,910," 910GSHOLING","Southampton"
36860,2,50.89674,-1.36492,910," 910GSHOLING","Southampton"
47257,4,50.89504,-1.4058,930,"     930GSOP","Southampton"
47257,5,50.89504,-1.4058,930,"     930GSOP","Southampton"
47257,1,50.89504,-1.4058,930,"     930GSOP","Southampton"
49945,2,50.88438,-1.30528,190," 910GBURSLDN","Southampton"
49945,5,50.88438,-1.30528,190," 910GBURSLDN","Southampton"
51990,5,50.89838,-1.44651,190,"1900HAA09340","Southampton"
52111,5,50.91462,-1.33109,198,"1980HA120776","Southampton"
52112,5,50.9143,-1.3309,198,"1980HA120777","Southampton"
52496,5,50.87635,-1.33781,190,"1900HA030520","Southampton"
52504,5,50.88073,-1.34898,190,"1900HA030526","Southampton"
53012,5,50.93098,-1.39983,198,"1980SN120261","Southampton"
53013,5,50.93066,-1.39895,198,"1980SN120263","Southampton"
53014,5,50.92996,-1.3962,198,"1980SN120264","Southampton"
53015,5,50.92999,-1.39661,198,"1980SN120265","Southampton"
53016,5,50.93119,-1.39139,198,"1980SN120266","Southampton"
53017,5,50.93106,-1.39115,198,"1980SN120267","Southampton"
53018,5,50.92958,-1.39076,198,"1980SN120268","Southampton"
53019,5,50.92872,-1.39088,198,"1980SN120269","Southampton"
53114,5,50.89785,-1.39979,198,"1980HA120638","Southampton"
53756,5,50.88986,-1.44439,190,"1900HAA90812","Southampton"
53758,5,50.89735,-1.4499,190,"1900HAA90810","Southampton"
53760,5,50.89529,-1.44694,190,"1900HAA90811","Southampton"
54353,5,50.83038,-1.39067,190,"1900HA080445","Southampton"
55124,5,50.92232,-1.41504,198,"1980SNA09195","Southampton"
55323,5,50.91829,-1.43789,198,"1980SNA09231","Southampton"
55786,5,50.83969,-1.38872,190,"1900HA080436","Southampton"
55787,5,50.83754,-1.38657,190,"1900HA080437","Southampton"
55788,5,50.84395,-1.39264,190,"1900HA080434","Southampton"
55789,5,50.83975,-1.38896,190,"1900HA080435","Southampton"
55790,5,50.84708,-1.39362,190,"1900HA080432","Southampton"
55791,5,50.84395,-1.39275,190,"1900HA080433","Southampton"
55792,5,50.84757,-1.39442,190,"1900HA080430","Southampton"
55793,5,50.84764,-1.394,190,"1900HA080431","Southampton"
55796,5,50.83469,-1.384,190,"1900HA080438","Southampton"
55797,5,50.83429,-1.38341,190,"1900HA080439","Southampton"
57340,5,50.83205,-1.42993,190,"1900HA080502","Southampton"
57341,5,50.83204,-1.42986,190,"1900HA080503","Southampton"
57342,5,50.83736,-1.42756,190,"1900HA080500","Southampton"
57343,5,50.83736,-1.42763,190,"1900HA080501","Southampton"
57344,5,50.82324,-1.43865,190,"1900HA080506","Southampton"
57345,5,50.82328,-1.43872,190,"1900HA080507","Southampton"
57346,5,50.82766,-1.43184,190,"1900HA080504","Southampton"
57347,5,50.82765,-1.43177,190,"1900HA080505","Southampton"
57348,5,50.8207,-1.4442,190,"1900HA080508","Southampton"
57349,5,50.82061,-1.44467,190,"1900HA080509","Southampton"
58005,5,50.94021,-1.39553,198,"1980SN120129","Southampton"
59238,5,50.86413,-1.39481,190,"1900HA080366","Southampton"
59239,5,50.8641,-1.39485,190,"1900HA080367","Southampton"
59240,5,50.86495,-1.39845,190,"1900HA080364","Southampton"
59241,5,50.86481,-1.39822,190,"1900HA080365","Southampton"
59242,5,50.86506,-1.39931,190,"1900HA080362","Southampton"
59243,5,50.86458,-1.39932,190,"1900HA080363","Southampton"
59245,5,50.86726,-1.39921,190,"1900HA080361","Southampton"
59246,5,50.86305,-1.3924,190,"1900HA080368","Southampton"
59247,5,50.86305,-1.39246,190,"1900HA080369","Southampton"
60148,5,50.89866,-1.31882,190,"1900HA030393","Southampton"
60696,5,50.9209,-1.39535,198,"1980SN120412","Southampton"
61077,5,50.90952,-1.40486,198,"1980SN12524B","Southampton"
61078,5,50.90999,-1.40491,198,"1980SN12524D","Southampton"
61139,5,50.90009,-1.35292,198,"1980SN120328","Southampton"
61199,5,50.9038,-1.4028,198,"1980SN12618C","Southampton"
61200,5,50.9041,-1.40257,198,"1980SN12618B","Southampton"
61201,5,50.90468,-1.40254,198,"1980SN12618A","Southampton"
61328,5,50.89899,-1.35671,198,"1980SN120690","Southampton"
61329,5,50.90396,-1.34804,198,"1980SN120693","Southampton"
61330,5,50.90239,-1.35102,198,"1980SN120692","Southampton"
61331,5,50.89805,-1.34973,198,"1980SN120695","Southampton"
61332,5,50.90373,-1.34833,198,"1980SN120694","Southampton"
61333,5,50.90013,-1.347,198,"1980SN120697","Southampton"
61334,5,50.89877,-1.34864,198,"1980SN120696","Southampton"
61336,5,50.90499,-1.34598,198,"1980SN120698","Southampton"
62115,5,50.90883,-1.40679,198,"1980SN12441B","Southampton"
62116,5,50.9088,-1.40627,198,"1980SN12441A","Southampton"
62699,5,50.92669,-1.43648,198,"1980SN120214","Southampton"
62700,5,50.92522,-1.43896,198,"1980SN120217","Southampton"
62701,5,50.92542,-1.4394,198,"1980SN120216","Southampton"
62702,5,50.92896,-1.43795,198,"1980SN120211","Southampton"
62705,5,50.93113,-1.43311,198,"1980SN120219","Southampton"
62902,5,50.90641,-1.36042,198,"1980SN120589","Southampton"
62903,5,50.90666,-1.36039,198,"1980SN120588","Southampton"
63390,5,50.88229,-1.34308,190,"1900HAA09206","Southampton"
63392,5,50.88083,-1.34289,190,"1900HAA09202","Southampton"
63677,5,50.85292,-1.41532,190,"1900HA080334","Southampton"
64504,5,50.91383,-1.44314,198,"1980SN120479","Southampton"
64505,5,50.91767,-1.34347,198,"1980SN120471","Southampton"
64506,5,50.91715,-1.34433,198,"1980SN120472","Southampton"
64507,5,50.91451,-1.35575,198,"1980SN120474","Southampton"
64508,5,50.91397,-1.44328,198,"1980SN120477","Southampton"
65049,5,50.92095,-1.33968,198,"1980HA120464","Southampton"
65362,5,50.85294,-1.40068,190,"1900HA080409","Southampton"
65363,5,50.85298,-1.40062,190,"1900HA080408","Southampton"
65366,5,50.85163,-1.40871,190,"1900HA080403","Southampton"
65367,5,50.85173,-1.4094,190,"1900HA080402","Southampton"
65368,5,50.85191,-1.41052,190,"1900HA080401","Southampton"
65369,5,50.85195,-1.41056,190,"1900HA080400","Southampton"
65370,5,50.85374,-1.4029,190,"1900HA080407","Southampton"
65371,5,50.85362,-1.40331,190,"1900HA080406","Southampton"
65372,5,50.8532,-1.40539,190,"1900HA080405","Southampton"
65373,5,50.85258,-1.40666,190,"1900HA080404","Southampton"
68760,5,50.91118,-1.41553,198,"1980SN120950","Southampton"
68761,5,50.91183,-1.41574,198,"1980SN120951","Southampton"
68893,5,50.8685,-1.40618,190,"1900HA080353","Southampton"
68894,5,50.86731,-1.41028,190,"1900HA080352","Southampton"
68895,5,50.86734,-1.41035,190,"1900HA080351","Southampton"
68896,5,50.86553,-1.41117,190,"1900HA080350","Southampton"
68897,5,50.87018,-1.4033,190,"1900HA080355","Southampton"
68898,5,50.86853,-1.40613,190,"1900HA080354","Southampton"
69826,5,50.88975,-1.37946,198,"1980HAA13660","Southampton"
69829,5,50.89114,-1.38311,198,"1980HAA13664","Southampton"
69830,5,50.90259,-1.35078,198,"1980HAA13665","Southampton"
69838,5,50.93626,-1.39684,198,"1980HAA13668","Southampton"
70683,5,50.90309,-1.40315,198,"1980SN12619A","Southampton"
70684,5,50.90454,-1.40327,198,"1980SN12619C","Southampton"
70685,5,50.90366,-1.40266,198,"1980SN12619D","Southampton"
70686,5,50.90347,-1.40269,198,"1980SN12619E","Southampton"
70875,5,50.90065,-1.35439,198,"1980SN120686","Southampton"
70876,5,50.9001,-1.35421,198,"1980SN120687","Southampton"
70877,5,50.90085,-1.35362,198,"1980SN120684","Southampton"
70879,5,50.90196,-1.35633,198,"1980SN120682","Southampton"
70886,5,50.89911,-1.3568,198,"1980SN120689","Southampton"
72066,5,50.92359,-1.37463,198,"1980SN120294","Southampton"
72193,5,50.90565,-1.40432,198,"1980SN12532B","Southampton"
72194,5,50.90574,-1.40454,198,"1980SN12532A","Southampton"
72385,5,50.90483,-1.35889,198,"1980SN120590","Southampton"
72386,5,50.90898,-1.34724,198,"1980SN120596","Southampton"
72387,5,50.90846,-1.34593,198,"1980SN120597","Southampton"
72388,5,50.91027,-1.3496,198,"1980SN120594","Southampton"
72389,5,50.91034,-1.34994,198,"1980SN120595","Southampton"
72391,5,50.90747,-1.34264,198,"1980SN120599","Southampton"
72461,5,50.903,-1.33075,198,"1980SN121059","Southampton"
72463,5,50.92996,-1.40581,198,"1980SN121054","Southampton"
72464,5,50.92738,-1.4056,198,"1980SN121055","Southampton"
72467,5,50.92709,-1.40571,198,"1980SN121052","Southampton"
72468,5,50.92956,-1.40595,198,"1980SN121053","Southampton"
73837,5,50.90702,-1.40607,198,"1980SN120527","Southampton"
73842,5,50.9094,-1.4047,198,"1980SN120525","Southampton"
73847,5,50.90891,-1.40728,198,"1980SN120523","Southampton"
73932,5,50.91786,-1.33719,198,"1980SN120468","Southampton"
73933,5,50.91761,-1.34098,198,"1980SN120469","Southampton"
73935,5,50.92169,-1.34146,198,"1980SN120467","Southampton"
73937,5,50.9216,-1.34148,198,"1980SN120463","Southampton"
73938,5,50.91516,-1.34719,198,"1980SN120460","Southampton"
73939,5,50.91844,-1.3364,198,"1980SN120461","Southampton"
74110,5,50.93252,-1.40287,198,"1980SNA19495","Southampton"
74422,5,50.92464,-1.39764,198,"1980HAA13376","Southampton"
74423,5,50.92239,-1.40318,198,"1980HAA13377","Southampton"
74424,5,50.92324,-1.40117,198,"1980HAA13374","Southampton"
74425,5,50.92468,-1.39786,198,"1980HAA13375","Southampton"
74426,5,50.90396,-1.40277,198,"1980HAA13371","Southampton"
74775,5,50.8521,-1.40074,190,"1900HA080419","Southampton"
74778,5,50.85294,-1.40007,190,"1900HA080410","Southampton"
74779,5,50.85259,-1.40062,190,"1900HA080411","Southampton"
74780,5,50.85067,-1.40563,190,"1900HA080412","Southampton"
74781,5,50.85073,-1.40568,190,"1900HA080413","Southampton"
74782,5,50.84947,-1.41314,190,"1900HA080414","Southampton"
74783,5,50.8495,-1.41312,190,"1900HA080415","Southampton"
74784,5,50.85055,-1.41616,190,"1900HA080416","Southampton"
74785,5,50.85061,-1.4162,190,"1900HA080417","Southampton"
75084,5,50.94111,-1.42653,198,"1980SNA09236","Southampton"
75101,5,50.91673,-1.43266,198,"1980SNA09234","Southampton"
75289,5,50.91513,-1.36114,198,"1980SNA90798","Southampton"
75328,5,50.85939,-1.39465,190,"1900HA080383","Southampton"
76437,5,50.91464,-1.36243,198,"1980SN12921C","Southampton"
76438,5,50.91512,-1.36148,198,"1980SN12921A","Southampton"
78375,5,50.90736,-1.39945,198,"1980SN12544A","Southampton"
78418,5,50.90655,-1.34992,198,"1980SN120967","Southampton"
78419,5,50.90407,-1.35407,198,"1980SN120966","Southampton"
78420,5,50.90389,-1.35419,198,"1980SN120965","Southampton"
78421,5,50.90264,-1.3557,198,"1980SN120964","Southampton"
78422,5,50.90612,-1.3506,198,"1980SN120963","Southampton"
78423,5,50.90781,-1.34726,198,"1980SN120962","Southampton"
78424,5,50.90754,-1.3479,198,"1980SN120961","Southampton"
78545,5,50.86459,-1.40939,190,"1900HA080348","Southampton"
78546,5,50.86554,-1.41124,190,"1900HA080349","Southampton"
78547,5,50.85578,-1.41729,190,"1900HA080340","Southampton"
78548,5,50.85717,-1.4182,190,"1900HA080341","Southampton"
78549,5,50.85735,-1.41829,190,"1900HA080342","Southampton"
78550,5,50.86026,-1.40996,190,"1900HA080343","Southampton"
78551,5,50.86071,-1.40919,190,"1900HA080344","Southampton"
78552,5,50.86267,-1.40915,190,"1900HA080345","Southampton"
78553,5,50.86301,-1.40917,190,"1900HA080346","Southampton"
78554,5,50.86402,-1.40954,190,"1900HA080347","Southampton"
80369,5,50.92529,-1.38849,198,"1980SN120302","Southampton"
